episode,reward_total,reward_leader,reward_follower,timesteps,wall_time
327,-624.77,-505.90,-118.86,1000,2601.7
328,-672.08,-502.05,-170.03,1000,2611.2
329,-574.71,-463.17,-111.54,1000,2620.6
330,-587.88,-473.96,-113.92,1000,2629.5
331,-623.50,-487.78,-135.73,1000,2638.2
332,-630.26,-473.10,-157.16,1000,2646.8
333,-632.18,-519.88,-112.30,1000,2655.7
334,-886.66,-708.44,-178.22,1000,2664.4
335,-650.85,-516.92,-133.94,1000,2673.3
336,-683.46,-516.34,-167.11,1000,2681.9
337,-623.55,-513.14,-110.42,1000,2691.0
338,-1340.14,-825.20,-514.94,1000,2700.0
339,-654.51,-497.50,-157.01,1000,2709.0
340,-631.05,-478.50,-152.55,1000,2718.2
341,-616.84,-477.50,-139.34,1000,2728.0
342,-658.74,-522.84,-135.91,1000,2737.8
343,-597.33,-494.82,-102.50,1000,2747.5
344,-615.33,-486.42,-128.91,1000,2757.2
345,-657.55,-490.66,-166.89,1000,2766.8
346,-561.11,-455.96,-105.15,1000,2776.4
347,-632.84,-481.14,-151.70,1000,2785.5
348,-659.24,-485.56,-173.68,1000,2794.1
349,-679.01,-536.41,-142.60,1000,2802.6
350,-999.34,-671.73,-327.62,1000,2811.3
351,-575.88,-481.59,-94.29,1000,2820.3
352,-635.40,-502.30,-133.11,1000,2828.8
353,-720.91,-535.14,-185.77,1000,2837.7
354,-763.90,-559.31,-204.59,1000,2846.3
355,-911.27,-630.46,-280.81,1000,2855.1
356,-895.80,-637.19,-258.61,1000,2863.6
357,-729.04,-540.18,-188.87,1000,2872.2
358,-1285.35,-831.18,-454.18,1000,2880.9
359,-611.32,-488.37,-122.95,1000,2889.4
360,-616.60,-482.16,-134.44,1000,2898.1
361,-561.50,-481.98,-79.52,1000,2906.8
362,-627.55,-490.98,-136.57,1000,2915.4
363,-1076.03,-734.96,-341.07,1000,2923.9
364,-602.01,-469.34,-132.67,1000,2932.6
365,-763.90,-563.12,-200.78,1000,2940.9
366,-842.81,-584.47,-258.33,1000,2949.9
367,-1024.42,-708.33,-316.09,1000,2959.1
368,-1149.48,-733.22,-416.25,1000,2969.1
369,-1088.71,-714.48,-374.23,1000,2978.5
370,-1234.45,-807.66,-426.79,1000,2988.3
371,-1114.54,-717.59,-396.95,1000,2998.1
372,-792.60,-597.10,-195.49,1000,3007.3
373,-895.89,-630.64,-265.25,1000,3016.8
374,-801.56,-579.43,-222.12,1000,3026.2
375,-1150.07,-801.58,-348.49,1000,3035.8
376,-1115.31,-719.46,-395.85,1000,3045.1
