episode,reward_total,reward_leader,reward_follower,timesteps,wall_time
489,980.94,983.40,-2.46,46,904.1
490,982.22,984.76,-2.54,34,905.1
491,609.09,652.43,-43.34,254,912.4
492,986.42,990.08,-3.66,27,913.2
493,994.46,995.11,-0.65,25,913.9
494,985.24,988.72,-3.48,37,915.0
495,979.28,982.37,-3.10,41,916.1
496,990.07,991.57,-1.49,31,917.0
497,991.56,993.00,-1.44,28,917.9
498,975.07,979.05,-3.97,46,919.2
499,885.83,897.60,-11.77,96,922.1
500,993.06,994.70,-1.64,19,922.7
501,976.81,979.95,-3.14,55,924.3
502,963.55,969.39,-5.84,79,926.6
503,992.39,993.67,-1.28,25,927.3
504,992.53,993.55,-1.02,25,928.0
505,984.44,987.34,-2.90,26,928.8
506,993.57,994.56,-0.99,24,929.4
507,977.73,980.61,-2.88,58,931.2
508,913.14,921.25,-8.11,91,933.8
509,974.41,977.92,-3.51,66,935.7
510,986.61,990.76,-4.14,28,936.5
511,984.39,987.17,-2.78,36,937.7
512,868.64,881.41,-12.77,95,940.6
513,991.74,993.00,-1.27,26,941.3
514,982.12,985.50,-3.38,43,942.6
515,988.17,991.34,-3.17,29,943.5
516,987.49,990.18,-2.69,30,944.4
517,979.70,983.10,-3.40,35,945.4
518,991.54,992.97,-1.43,28,946.2
519,986.02,988.37,-2.35,34,947.2
520,972.46,977.42,-4.96,57,948.9
521,987.16,988.48,-1.32,26,949.6
522,990.27,991.51,-1.24,21,950.2
523,966.23,973.34,-7.11,65,952.1
524,936.37,945.12,-8.75,81,954.5
525,984.79,988.51,-3.71,33,955.4
526,881.15,893.58,-12.44,109,958.6
527,983.71,987.38,-3.67,33,959.6
528,988.65,991.40,-2.75,30,960.4
529,991.65,992.28,-0.63,22,961.1
530,987.70,990.15,-2.45,37,962.2
531,989.80,991.19,-1.39,32,963.2
532,982.13,984.62,-2.49,50,964.7
533,937.16,945.85,-8.69,85,967.3
534,-506.18,-505.18,-1.00,9,967.6
535,-511.22,-509.96,-1.27,18,968.1
536,991.43,993.16,-1.73,24,968.8
537,994.20,995.20,-1.00,25,969.5
538,-510.59,-508.18,-2.42,15,970.0
539,983.92,987.10,-3.18,38,971.1
540,984.14,988.21,-4.07,39,972.3
541,981.54,984.99,-3.45,32,973.2
542,991.31,993.40,-2.09,25,974.0
543,-503.69,-503.35,-0.34,5,974.1
544,991.52,993.76,-2.24,24,974.9
545,977.97,982.18,-4.21,48,976.3
546,988.95,990.71,-1.76,36,977.4
547,-505.98,-505.29,-0.69,10,977.6
548,982.00,986.02,-4.02,38,978.7
549,992.11,993.32,-1.21,25,979.4
550,993.67,994.51,-0.84,23,980.2
551,928.53,945.07,-16.53,106,983.3
552,980.02,983.65,-3.64,46,984.6
553,990.95,993.06,-2.11,23,985.3
554,990.51,993.32,-2.82,23,985.9
555,952.83,958.06,-5.23,56,987.6
556,986.10,987.61,-1.51,29,988.5
